종목코드,종목명,날짜,종가,전일비,시가,고가,저가,거래량
326030,SK바이오팜,2024.05.07,88800.0,"상승  2,200",88100.0,89900.0,87500.0,109034.0
326030,SK바이오팜,2024.05.03,86600.0,"하락  1,700",88700.0,89000.0,86600.0,62483.0
326030,SK바이오팜,2024.05.02,88300.0,상승  700,87500.0,89200.0,87100.0,72720.0
326030,SK바이오팜,2024.04.30,87600.0,"상승  1,700",85200.0,90500.0,85200.0,174895.0
326030,SK바이오팜,2024.04.29,85900.0,"상승  2,400",84000.0,86000.0,83800.0,91765.0
326030,SK바이오팜,2024.04.26,83500.0,상승  200,83700.0,83800.0,82600.0,37526.0
326030,SK바이오팜,2024.04.25,83300.0,"하락  1,700",84100.0,85000.0,83000.0,80223.0
326030,SK바이오팜,2024.04.24,85000.0,"상승  1,000",85200.0,85300.0,83900.0,58324.0
326030,SK바이오팜,2024.04.23,84000.0,하락  200,84200.0,86100.0,83700.0,65826.0
326030,SK바이오팜,2024.04.22,84200.0,"상승  1,500",84700.0,85400.0,83200.0,70684.0
326030,SK바이오팜,2024.04.19,82700.0,"하락  1,700",83200.0,84400.0,81000.0,93967.0
326030,SK바이오팜,2024.04.18,84400.0,"상승  3,700",81500.0,85600.0,81000.0,90986.0
326030,SK바이오팜,2024.04.17,80700.0,하락  900,81600.0,82500.0,80700.0,85154.0
326030,SK바이오팜,2024.04.16,81600.0,"하락  2,000",82800.0,83400.0,81100.0,114926.0
326030,SK바이오팜,2024.04.15,83600.0,"하락  3,100",85500.0,86000.0,82900.0,140511.0
326030,SK바이오팜,2024.04.12,86700.0,"하락  1,200",87600.0,87900.0,86200.0,77660.0
326030,SK바이오팜,2024.04.11,87900.0,하락  500,87600.0,88400.0,85700.0,132846.0
326030,SK바이오팜,2024.04.09,88400.0,하락  700,89000.0,89700.0,87600.0,65436.0
326030,SK바이오팜,2024.04.08,89100.0,상승  700,88400.0,89300.0,86700.0,90625.0
326030,SK바이오팜,2024.04.05,88400.0,"하락  1,100",88700.0,89500.0,87800.0,69268.0
326030,SK바이오팜,2024.04.04,89500.0,"상승  1,300",89100.0,92200.0,88900.0,122431.0
326030,SK바이오팜,2024.04.03,88200.0,"하락  1,700",89100.0,89900.0,87800.0,133298.0
326030,SK바이오팜,2024.04.02,89900.0,"하락  2,100",91500.0,92000.0,89500.0,114716.0
