종목코드,탭코드,종목명,현재가,등락구분,전일비,등락률,순자산가치(NAV),3개월수익률,거래량,거래대금(백만),시가총액(억),유형,브랜드,인버스,레버리지,환헤지H
459580,6,KODEX CD금리액티브(합성),1035155,2,100,0.01,1035156.0,0.884,344339,356445,83168,채권,KODEX,False,False,False
357870,6,TIGER CD금리투자KIS(합성),54265,2,5,0.01,54258.0,0.8456,132995,7216,73403,채권,TIGER,False,False,False
069500,1,KODEX 200,37460,2,130,0.35,37556.0,6.584,1895070,70864,63813,국내 시장지수,KODEX,False,False,False
423160,6,KODEX KOFR금리액티브(합성),106685,3,0,0.0,106678.0,0.8841,609048,64976,52336,채권,KODEX,False,False,False
449170,6,TIGER KOFR금리액티브(합성),105225,2,10,0.01,105221.0,0.8869,42740,4497,37320,채권,TIGER,False,False,False
360750,4,TIGER 미국S&P500,17625,2,85,0.48,17593.0,7.2586,1144322,20162,32474,해외 주식,TIGER,False,False,False
133690,4,TIGER 미국나스닥100,109905,2,485,0.44,109731.0,5.4041,114739,12607,31455,해외 주식,TIGER,False,False,False
273130,6,KODEX 종합채권(AA-이상)액티브,109885,5,-50,-0.05,109920.0,0.6592,7426,815,28325,채권,KODEX,False,False,False
465680,6,KODEX 24-12 은행채(AA+이상)액티브,10280,3,0,0.0,10280.0,0.8832,49967,513,26173,채권,KODEX,False,False,False
381180,4,TIGER 미국필라델피아반도체나스닥,17315,3,0,0.0,17250.0,13.3254,1316211,22768,23704,해외 주식,TIGER,False,False,False
102110,1,TIGER 200,37525,2,130,0.35,37620.0,6.5263,827801,31001,23153,국내 시장지수,TIGER,False,False,False
122630,3,KODEX 레버리지,19955,2,150,0.76,20174.0,10.9213,10526173,209148,21561,국내 파생,KODEX,False,True,False
278530,1,KODEX 200TR,13030,2,55,0.42,13060.0,6.396,191363,2486,21519,국내 시장지수,KODEX,False,False,False
381170,4,TIGER 미국테크TOP10 INDXX,18285,2,50,0.27,18250.0,10.3813,883642,16153,21256,해외 주식,TIGER,False,False,False
371460,4,TIGER 차이나전기차SOLACTIVE,8120,5,-120,-1.46,8100.0,20.6442,1744008,14250,20505,해외 주식,TIGER,False,False,False
455890,6,KBSTAR 머니마켓액티브,52185,2,5,0.01,52182.0,0.9772,222371,11604,15700,채권,KBSTAR,False,False,False
252670,3,KODEX 200선물인버스2X,1991,5,-14,-0.7,1992.0,-12.0615,147938145,295905,13407,국내 파생,KODEX,True,False,False
102780,2,KODEX 삼성그룹,9685,2,45,0.47,9706.0,7.0516,514085,4969,12988,국내 업종/테마,KODEX,False,False,False
148020,1,KBSTAR 200,37715,2,140,0.37,37802.0,6.5473,162115,6099,12842,국내 시장지수,KBSTAR,False,False,False
305540,2,TIGER 2차전지테마,23530,2,55,0.23,23585.0,-1.8358,228754,5352,12765,국내 업종/테마,TIGER,False,False,False
305720,2,KODEX 2차전지산업,20055,5,-5,-0.02,20093.0,-0.5701,542173,10821,12735,국내 업종/테마,KODEX,False,False,False
315930,2,KODEX Top5PlusTR,23145,2,70,0.3,23143.0,10.698,14083,325,12730,국내 업종/테마,KODEX,False,False,False
470260,6,TIGER 24-12 금융채(AA-이상),51160,2,10,0.02,51168.0,0.8975,830,42,12634,채권,TIGER,False,False,False
214980,6,KODEX 단기채권PLUS,110435,2,30,0.03,110436.0,0.808,7563,835,12089,채권,KODEX,False,False,False
292150,2,TIGER TOP10,12425,5,-25,-0.2,12465.0,8.3079,71926,893,11940,국내 업종/테마,TIGER,False,False,False
453850,6,ACE 미국30년국채액티브(H),8265,3,0,0.0,8276.0,-4.5282,1450063,11998,11571,채권,ACE,False,False,True
310970,1,TIGER MSCI Korea TR,16035,2,75,0.47,16064.0,6.6132,5115,81,11401,국내 시장지수,TIGER,False,False,False
385540,6,KBSTAR 종합채권(A-이상)액티브,101800,5,-25,-0.02,101810.0,0.4934,2146,218,11296,채권,KBSTAR,False,False,False
233740,3,KODEX 코스닥150레버리지,11830,2,20,0.17,11925.0,25.1059,16371002,191048,10955,국내 파생,KODEX,False,True,False
379800,4,KODEX 미국S&P500TR,16060,2,80,0.5,16031.0,7.3203,734023,11792,10632,해외 주식,KODEX,False,False,False
360200,4,ACE 미국S&P500,17830,2,90,0.51,17792.0,7.3005,173809,3097,9735,해외 주식,ACE,False,False,False
229200,1,KODEX 코스닥150,14310,2,20,0.14,14377.0,12.4577,4109473,58396,9022,국내 시장지수,KODEX,False,False,False
396500,2,TIGER Fn반도체TOP10,13210,2,115,0.88,13188.0,27.5197,1140448,14953,8712,국내 업종/테마,TIGER,False,False,False
458730,4,TIGER 미국배당다우존스,11390,2,45,0.4,11360.0,4.8715,654279,7452,8400,해외 주식,TIGER,False,False,False
447820,6,TIGER 24-10 회사채(A+이상)액티브,54865,2,10,0.02,54855.0,0.9384,26882,1474,8117,채권,TIGER,False,False,False
436140,6,SOL 종합채권(AA-이상)액티브,106380,2,75,0.07,106366.0,0.4251,3,0,8115,채권,SOL,False,False,False
367380,4,ACE 미국나스닥100,18890,2,70,0.37,18859.0,5.5169,130338,2462,7764,해외 주식,ACE,False,False,False
379810,4,KODEX 미국나스닥100TR,16420,2,75,0.46,16396.0,5.4516,252343,4144,7758,해외 주식,KODEX,False,False,False
139260,2,TIGER 200 IT,34515,2,45,0.13,34519.0,10.1665,22174,763,7655,국내 업종/테마,TIGER,False,False,False
157450,6,TIGER 단기통안채,106830,3,0,0.0,106843.0,0.7402,6481,692,7536,채권,TIGER,False,False,False
091160,2,KODEX 반도체,41995,2,160,0.38,42012.0,22.1995,264676,11055,7433,국내 업종/테마,KODEX,False,False,False
153130,6,KODEX 단기채권,109500,3,0,0.0,109510.0,0.7591,8365,916,7240,채권,KODEX,False,False,False
356540,6,ACE 종합채권(AA-이상)KIS액티브,100395,5,-55,-0.05,100384.0,0.5354,272,27,7139,채권,ACE,False,False,False
294400,1,KOSEF 200TR,47390,2,160,0.34,47507.0,6.5298,20653,977,7037,국내 시장지수,KOSEF,False,False,False
462010,2,TIGER 2차전지소재Fn,7135,5,-5,-0.07,7145.0,-4.5327,496471,3516,6839,국내 업종/테마,TIGER,False,False,False
453540,6,TIGER 25-10 회사채(A+이상)액티브,52660,2,5,0.01,52651.0,0.9974,83773,4411,6778,채권,TIGER,False,False,False
152100,1,ARIRANG 200,38020,2,110,0.29,38113.0,6.6385,43914,1666,6558,국내 시장지수,ARIRANG,False,False,False
091180,2,KODEX 자동차,20835,2,100,0.48,20861.0,0.9936,236979,4925,6219,국내 업종/테마,KODEX,False,False,False
