종목명,현재가,전일비,등락률,매수호가,매도호가,거래량,거래대금,전일거래량,조회일자,종목코드,매출액,영업이익,당기순이익,영업이익률,순이익률,EPS(원)_x,PER(배)_x,상장주식수,외국인한도주식수(A),외국인보유주식수(B),외국인소진율(B/A),동일업종 PER,동일업종 등락률,코스피/코스닥,시가총액(억원),시가총액순위(전처리),52주최고,52주최저,52주차액,52주차액비율,현재-최고가,현재/최고가비율,목표주가,투자의견,매수매도,PER(배)_y,EPS(원)_y,PBR(배),BPS(원),배당수익률%
한국유니온제약 *,6220.0,상승  410,+7.06%,6220.0,6230.0,30120.0,184.0,7041.0,2024-05-12,080720,,,,,,,,7909829,7909829,53729,0.68%,101.57,+0.31%,코스닥,492,1344,6460,4210,2250,1.5344418052256532,-240.0,0.9628482972136223,,,,,-2297,1.48,4196.0,
에이비온 *,8200.0,상승  490,+6.36%,8190.0,8200.0,240152.0,1946.0,171467.0,2024-05-12,203400,,,,,,,,22025993,22025993,68933,0.31%,101.57,+0.31%,코스닥,1806,498,9720,4710,5010,2.0636942675159236,-1520.0,0.8436213991769548,,,,,-1524,18.1,453.0,
에이프로젠바이오로직스,1631.0,상승  90,+5.84%,1631.0,1632.0,498832.0,802.0,155279.0,2024-05-12,003060,,,,,,,,66575468,66575468,374036,0.56%,101.57,+0.31%,코스피,1086,887,6927,1467,5460,4.7218813905930475,-5296.0,0.23545546412588422,,,,,-1838,0.29,5607.0,
광동헬스바이오,2710.0,상승  105,+4.03%,2610.0,2675.0,2.0,5.0,891.0,2024-05-12,086220,,,,,,,,11086579,11086579,203906,1.84%,101.57,+0.31%,코스피,1159,753,14950,7580,7370,1.9722955145118735,-12240.0,0.18127090301003346,,,,27.72,377,0.95,11027.0,0.48
대봉엘에스 *,10450.0,상승  400,+3.98%,10440.0,10450.0,203025.0,2095.0,84220.0,2024-05-12,078140,,,,,,,,98867465,98867465,1221029,1.24%,101.57,+0.31%,코스닥,1932,455,3140,1180,1960,2.6610169491525424,7310.0,3.328025477707006,,,,,-540,2.58,757.0,
네오이뮨텍 *,1954.0,상승  66,+3.50%,1953.0,1954.0,1062278.0,2056.0,884492.0,2024-05-12,950220,,,,,,,,9603921,9603921,374065,3.89%,101.57,+0.31%,코스닥,946,928,11490,8500,2990,1.351764705882353,-9536.0,0.1700609225413403,,,,10.43,944,0.41,24263.0,3.55
코스맥스비티아이,9850.0,상승  280,+2.93%,9840.0,9850.0,13190.0,126.0,3667.0,2024-05-12,044820,,,,,,,,29415558,29415558,946348,3.22%,101.57,+0.31%,코스피,4762,158,22350,14210,8140,1.5728360309641098,-12500.0,0.4407158836689038,20000.0,4.0,매수,24.27,667,1.18,13693.0,1.9
콜마비앤에이치 *,16190.0,상승  460,+2.92%,16180.0,16190.0,175997.0,2846.0,121289.0,2024-05-12,200130,,,,,,,,264837258,264837258,22866458,8.63%,101.57,+0.31%,코스닥,4118,412,3185,701,2484,4.543509272467903,13005.0,5.083202511773941,,,,,-216,2.57,606.0,
에이프로젠,1555.0,상승  43,+2.84%,1554.0,1555.0,15546732.0,24521.0,7057356.0,2024-05-12,007460,,,,,,,,18586811,18586811,127155,0.68%,101.57,+0.31%,코스피,2712,543,18720,12840,5880,1.4579439252336448,-17165.0,0.08306623931623931,,,,75.6,193,1.08,13556.0,1.03
이연제약,14590.0,상승  390,+2.75%,14550.0,14590.0,20265.0,290.0,12447.0,2024-05-12,102460,,,,,,,,20628000,20628000,215629,1.05%,101.57,+0.31%,코스피,941,902,7330,4120,3210,1.779126213592233,7260.0,1.990450204638472,8000.0,4.0,매수,,-315,2.59,1761.0,
